epoch,g_loss,d_loss
973,5.296312,0.360526
974,5.082121,0.350883
975,5.295176,0.347777
976,5.338357,0.346242
977,5.279782,0.359635
978,5.402097,0.353631
979,5.335003,0.348376
980,5.166455,0.348052
981,5.504013,0.344596
982,5.593287,0.341791
983,5.600670,0.343459
984,5.693103,0.342116
985,5.798012,0.343619
986,5.693866,0.351151
987,5.934816,0.350490
988,5.456053,0.362485
989,5.378687,0.348459
990,5.581997,0.344718
991,5.414317,0.352516
992,5.675562,0.351421
993,5.883947,0.368666
994,5.476542,0.347920
995,5.641787,0.344228
996,5.430778,0.348539
997,5.572620,0.347690
998,5.617440,0.344265
999,5.604915,0.341753
1000,5.456360,0.345349
